,School,FSM
0,The Aldgate School,58.0
1,Thomas Coram Centre,28.0
2,Heath School,24.0
3,Camden Primary Pupil Referral Unit,16.0
4,West Hampstead Primary School,175.0
5,Brecknock Primary School,188.0
6,Brookfield Primary School,146.0
7,Carlton Primary School,122.0
8,Edith Neville Primary School,103.0
9,Fleet Primary School,117.0
10,Hawley Primary School,117.0
11,Netley Primary School,209.0
12,New End Primary School,59.0
13,Primrose Hill School,158.0
14,Rhyl Community Primary School,244.0
15,Richard Cobden Primary School,227.0
16,Torriano Primary School,180.0
17,Gospel Oak Primary School,151.0
18,Fitzjohn's Primary School,30.0
19,Eleanor Palmer Primary School,49.0
20,"Christ Church Primary School, Hampstead",7.0
21,Christ Church School,83.0
22,Emmanuel Church of England Primary School,32.0
23,Hampstead Parochial Church of England Primary School,19.0
24,"Holy Trinity CofE Primary School, NW3",91.0
25,"Holy Trinity and Saint Silas CofE Primary School, NW1",65.0
26,Kentish Town Church of England Primary School,97.0
27,Rosary Catholic Primary School,123.0
28,St Alban's Church of England Primary School,53.0
29,St Aloysius Catholic Primary School,90.0
30,St Dominic's Catholic Primary School,27.0
31,St George the Martyr Church of England Primary School,82.0
32,St Josephs Catholic Primary School,78.0
33,St Mary's Kilburn Church of England Primary School,149.0
34,St Mary and St Pancras Church of England Primary School,134.0
35,St Michael's Church of England Primary School,0.0
36,St Patrick's Catholic Primary School,78.0
37,St Paul's Church of England Primary School,76.0
38,St Eugene de Mazenod Roman Catholic Primary School,93.0
39,Our Lady Roman Catholic Primary School,152.0
40,Haverstock School,445.0
41,Parliament Hill School,320.0
42,Regent High School,629.0
43,Hampstead School,486.0
44,Acland Burghley School,331.0
45,The Camden School for Girls,170.0
46,Maria Fidelis Catholic School FCJ,417.0
47,William Ellis School,268.0
48,La Sainte Union Catholic Secondary School,136.0
49,North Bridge Nursery School,0.0
50,Lyndhurst House Preparatory School,0.0
51,Rainbow Montessori School,0.0
52,Frank Barnes School for Deaf Children,14.0
53,Harmood School,23.0
54,Swiss Cottage School - Development & Research Centre,130.0
55,Rachel McMillan Nursery School and Children's Centre,2.0
56,Pound Park Nursery School,7.0
57,Abbey Wood Nursery School,7.0
58,Robert Owen Nursery School,3.0
59,Newhaven Pupil Referral Unit,64.0
60,Alderwood Primary School,60.0
61,Bannockburn Primary School,160.0
62,Morden Mount Primary School,136.0
63,Cherry Orchard Primary School,70.0
64,Ealdham Primary School,171.0
65,Fossdene Primary School,77.0
66,Gallions Mount Primary School,50.0
67,Gordon Primary School,50.0
68,Greenacres Primary School and Language Impairment Unit,48.0
69,Haimo Primary School,135.0
70,Halstow Primary School,18.0
71,Henwick Primary School,135.0
72,Horn Park Primary School,127.0
73,Invicta Primary School,196.0
74,Kidbrooke Park Primary School,154.0
75,Meridian Primary School,29.0
76,Plumcroft Primary School,286.0
77,Sherington Primary School,66.0
78,Thorntree Primary School,65.0
79,Woodhill Primary School,188.0
80,Wyborne Primary School,78.0
81,Montbelle Primary School,85.0
82,Boxgrove Primary School,168.0
83,Rockliffe Manor Primary School,41.0
84,De Lucy Primary School,142.0
85,Wingfield Primary School,57.0
86,Cardwell Primary School,163.0
87,Foxfield Primary School,131.0
88,Heronsgate Primary School,200.0
89,Linton Mead Primary School,130.0
90,Nightingale Primary School,31.0
91,Greenslade Primary School,33.0
92,Mulgrave Primary School,96.0
93,Charlton Manor Primary School,87.0
94,Christ Church Church of England Primary School,78.0
95,"Christ Church Church of England Primary School, Shooters Hill",27.0
96,Eltham Church of England Primary School,57.0
97,Our Lady of Grace Catholic Primary School,89.0
98,St Joseph's Catholic Primary School,67.0
99,St Margaret's Church of England Primary School,76.0
100,Saint Mary Magdalene Church of England All Through School,671.0
101,St Patrick's Catholic Primary School,84.0
102,St Alfege with St Peter's Church of England Primary School,81.0
103,St Thomas More Catholic Primary School,63.0
104,St Thomas A Becket Roman Catholic Primary School,113.0
105,Notre Dame Catholic Primary School,65.0
106,St Margaret Clitherow Catholic Primary School,44.0
107,Bishop John Robinson Church of England Primary School,43.0
108,Eltham Hill School,237.0
109,Plumstead Manor School,461.0
110,Thomas Tallis School,370.0
111,The John Roan School,245.0
112,St Ursula's Convent School,135.0
113,Hawksmoor School,102.0
114,King's Oak School,18.0
115,Wentworth Nursery School and Children's Centre,9.0
116,Comet Nursery School and Children's Centre,7.0
117,Berger Primary School,214.0
118,Colvestone Primary School,42.0
119,Daubeney Primary School,163.0
120,De Beauvoir Primary School,16.0
121,Gainsborough Primary School,123.0
122,Lauriston School,100.0
123,London Fields Primary School,122.0
124,Millfields Community School,153.0
125,Morningside Primary School,224.0
126,Orchard Primary School,294.0
127,Queensbridge Primary School,161.0
128,Randal Cremer Primary School,62.0
129,Princess May Primary School,94.0
130,Sebright School,194.0
131,Shacklewell Primary School,145.0
132,Southwold Primary School,167.0
133,Thomas Fairchild Community School,149.0
134,Oldhill Community School,98.0
135,Shoreditch Park Primary School,258.0
136,Woodberry Down Community Primary School,354.0
137,Kingsmead Primary School,108.0
138,Sir Thomas Abney School,91.0
139,Grasmere Primary School,34.0
140,Jubilee Primary School,135.0
141,Nightingale Primary School,184.0
142,Baden-Powell School,85.0
143,Harrington Hill Primary School,95.0
144,Holmleigh Primary School,87.0
145,Grazebrook Primary School,126.0
146,Parkwood Primary School,86.0
147,Benthal Primary School,144.0
148,Mandeville Primary School,142.0
149,Holy Trinity Church of England Primary School,110.0
150,Our Lady and St Joseph Catholic Primary School,49.0
151,St John the Baptist Voluntary Aided Church of England Primary School,140.0
152,St Matthias Church of England Primary School,102.0
153,St Monica's Roman Catholic Primary School,80.0
154,St. Paul's With St. Michael's CofE Primary School,116.0
155,St John of Jerusalem Church of England Primary School,80.0
156,"St Mary's Church of England Primary School, Stoke Newington",32.0
157,St Scholastica's Catholic Primary School,114.0
158,Simon Marks Jewish Primary School,34.0
159,Haggerston School,417.0
160,Stoke Newington School and Sixth Form,488.0
161,All Saints Catholic High School,198.0
162,The Urswick School - A Church of England Secondary School,493.0
163,Cardinal Pole Catholic School,515.0
164,Stormont House School,71.0
165,The Garden School,100.0
166,Ickburgh School,95.0
167,Randolph Beresford Early Years Centre,24.0
168,Vanessa Nursery School,5.0
169,James Lee Nursery School,3.0
170,Bayonne Nursery School,3.0
171,Addison Primary School,61.0
172,Avonmore Primary School,60.0
173,Brackenbury Primary School,119.0
174,Miles Coverdale Primary School,87.0
175,Flora Gardens Primary School,95.0
176,Kenmont Primary School,75.0
177,Melcombe Primary School,76.0
178,Old Oak Primary School,92.0
179,Sir John Lillie Primary School,87.0
180,Wendell Park Primary School,96.0
181,Wormholt Park Primary School,136.0
182,All Saints CofE Primary School,38.0
183,Holy Cross RC School,70.0
184,John Betts Primary School,24.0
185,St Augustine's RC Primary School,45.0
186,St John's Walham Green Church of England Primary School,66.0
187,St Paul's CofE Primary School,46.0
188,St Stephen's CofE Primary School,63.0
189,Good Shepherd RC Primary School,29.0
190,St John XXIII Catholic Primary School,107.0
191,St Thomas of Canterbury Catholic Primary School,33.0
192,Sinclair House School,0.0
193,Le Herisson School,0.0
194,Queensmill School,144.0
195,Woodlane High School,58.0
196,Jack Tizard School,35.0
197,Cambridge School,91.0
198,Margaret McMillan Nursery School,14.0
199,Kate Greenaway Nursery School and Children's Centre,7.0
200,North Islington Nursery School,6.0
201,New River College Primary,10.0
202,New River College Secondary,42.0
203,Ambler Primary School and Children's Centre,144.0
204,Copenhagen Primary School,61.0
205,Drayton Park Primary School,80.0
206,Duncombe Primary School,247.0
207,Gillespie Primary School,27.0
208,Hanover Primary School,89.0
209,Hargrave Park Primary School,174.0
210,Laycock Primary School,127.0
211,Moreland Primary School,205.0
212,Pakeman Primary School,173.0
213,Robert Blair School and Children's Centre,74.0
214,Thornhill Primary School,170.0
215,Vittoria Primary School,115.0
216,Winton Primary School,127.0
217,Yerbury Primary School,72.0
218,Tufnell Park Primary School,191.0
219,Highbury Quadrant Primary School,74.0
220,Ashmount Primary School,153.0
221,Prior Weston Primary School and Children's Centre,106.0
222,Hungerford Primary School and Children's Centre,102.0
223,Clerkenwell Parochial CofE Primary School,60.0
224,Sacred Heart Catholic Primary School,217.0
225,St John Evangelist Catholic Primary School,167.0
226,St John's Upper Holloway CofE Primary School,96.0
227,St John's Highbury Vale CofE Primary School,62.0
228,St Joseph's Catholic Primary School,158.0
229,St Jude and St Paul's CofE Primary School,67.0
230,St Luke's CofE Primary School,111.0
231,St Mark's CofE Primary School,122.0
232,St Mary's CofE Primary School,91.0
233,St Peter and St Paul Catholic Primary School,125.0
234,St Andrew's (Barnsbury) Church of England Primary School,123.0
235,St Joan of Arc RC Primary School,123.0
236,Christ The King Catholic Primary School,137.0
237,Blessed Sacrament RC Primary School,42.0
238,Highbury Grove School,299.0
239,Beacon High,282.0
240,Highbury Fields School,345.0
241,Elizabeth Garrett Anderson School,513.0
242,Central Foundation Boys' School,364.0
243,St Aloysius RC College,175.0
244,Mount Carmel Catholic College for Girls,112.0
245,Italia Conti Academy of Theatre Arts,0.0
246,Richard Cloudesley School,39.0
247,Samuel Rhodes MLD School,67.0
248,Golborne & Maxilla Nursery School,24.0
249,St Anne's & Avondale Park Nursery School,21.0
250,Chelsea Open Air Nursery School,2.0
251,Maxilla Nursery School,10.0
252,Ashburnham Community School,90.0
253,Bevington Primary School,100.0
254,Bousfield Primary School,57.0
255,Colville Primary School,123.0
256,Fox Primary School,35.0
257,Marlborough Primary School,108.0
258,Oxford Gardens Primary School,139.0
259,Park Walk Primary School,67.0
260,Avondale Park Primary School,140.0
261,Thomas Jones Primary School,93.0
262,Christ Church CofE Primary School,23.0
