gias_urn,gias_name,trust_name,easting,northing,postcode,fsm_percentage,gias_lat,gias_lon,__norm_name,lead_type,lead_category,lead_source,nearest_champion,distance_to_champion_km,impact_score
100388,New River College Primary,,531240.0,183798.0,N1 0HN,100.0,51.47573873873874,-0.016804652219616356,new river college primary,Deprived Area,deprived,FSM >= 30.0% (high deprivation),John Ball Primary School,1.7741067726509978,10.0
131697,Belmont Park School,,538126.0,188236.0,E10 6DB,100.0,,,belmont park school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,10.0
136684,The Buckinghamshire Primary Pupil Referral Unit,,481021.0,214692.0,HP19 9NS,100.0,,,the buckinghamshire primary pupil referral unit,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,10.0
135465,Maidstone and Malling Alternative Provision,,574902.0,155729.0,ME16 8AU,100.0,,,maidstone and malling alternative provision,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,10.0
149843,North Star 265°,NORTH STAR ACADEMY TRUST,355166.0,177298.0,BS9 2NT,100.0,,,north star 265°,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,10.0
134846,Ashley College,,518402.0,186630.0,HA9 8NP,100.0,,,ashley college,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,10.0
133545,William Morris Sixth Form,,523862.0,178222.0,W6 8RB,100.0,,,william morris sixth form,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,10.0
111498,Chaigeley School,,365469.0,387596.0,WA4 2TE,98.1,52.06259459459459,-1.334699284017081,chaigeley school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),Audley Primary School,56.7487141800615,9.81
147189,Pathways School,EKO TRUST,549317.0,183456.0,RM10 9NH,97.3,,,pathways school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.73
144358,Mary Astell Academy,PROSPER LEARNING TRUST,419719.0,566728.0,NE5 2LW,96.9,,,mary astell academy,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.690000000000001
150194,The Kairos Academy (KS3),YOUTH ENGAGEMENT SCHOOLS TRUST,392174.0,296040.0,WV4 6SR,94.4,,,the kairos academy (ks3),Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.440000000000001
146056,Esteem South Academy,ESTEEM MULTI-ACADEMY TRUST,428335.0,320791.0,DE11 0TW,93.8,,,esteem south academy,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.379999999999999
141605,The Bridge Integrated Learning Space,THE BRIDGE MAT LTD,531246.0,183842.0,N1 0HY,93.3,,,the bridge integrated learning space,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.33
148722,Kitts Green Academy,THRIVE EDUCATION PARTNERSHIP,414780.0,287131.0,B33 9QY,93.1,,,kitts green academy,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.309999999999999
133945,Bridgelea Pupil Referral Unit,,384775.0,392906.0,M20 3FB,92.9,,,bridgelea pupil referral unit,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.290000000000001
145772,Crays Hill Primary School,BERLESDUNA ACADEMY TRUST,571911.0,192684.0,CM11 2UZ,90.7,,,crays hill primary school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.07
141140,The Elland Academy,DELTA ACADEMIES TRUST,427623.0,431530.0,LS12 6DQ,90.0,,,the elland academy,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.0
151301,The Maple School,SYNERGY EDUCATION TRUST LIMITED,333706.0,434258.0,FY4 4RR,90.0,,,the maple school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.0
134768,Sycamore Short Stay School,,392935.0,292259.0,DY1 3QE,90.0,,,sycamore short stay school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,9.0
131294,"The Horizon School, Hartlepool",,449246.0,530423.0,TS25 4BY,89.2,,,"the horizon school, hartlepool",Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.92
103632,Lindsworth School,,406514.0,279168.0,B30 3QA,88.5,51.4676936936937,-2.5857428161751943,lindsworth school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),Clifton College,2.4387052035669563,8.85
143103,The Boxing Academy AP Free School,THE BOXING ACADEMY TRUST,534276.0,185982.0,E5 8PH,88.2,,,the boxing academy ap free school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.82
141865,Trinity Academy Newcastle,TRINITY ACADEMY NEWCASTLE,421896.0,564575.0,NE4 8XJ,87.9,,,trinity academy newcastle,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.79
132027,Scarborough Pupil Referral Unit,,503906.0,488055.0,YO11 2PG,87.5,,,scarborough pupil referral unit,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.75
105134,Gilbrook School,,327442.0,387324.0,CH49 8HE,87.3,53.02254054054054,-1.7359307901368037,gilbrook school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),Stockport Academy,51.42958235826373,8.73
133675,Compass School,,438428.0,115071.0,SO16 9FQ,87.2,,,compass school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.72
151377,Willow Park School,T.E.A.M EDUCATION TRUST,436306.0,386266.0,S2 2RU,86.8,,,willow park school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.68
141033,Finch Woods Academy,MANOR HALL ACADEMY TRUST,345445.0,385274.0,L26 0TY,86.6,,,finch woods academy,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.66
139114,Harmonize Academy AP Free School,LIGHTHOUSE HARMONIZE EDUCATION TRUST,337234.0,391080.0,L6 6DL,85.7,,,harmonize academy ap free school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.57
150287,The Kairos Academy (KS4),YOUTH ENGAGEMENT SCHOOLS TRUST,392151.0,296069.0,WV4 6SR,85.4,,,the kairos academy (ks4),Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.540000000000001
148440,St Chad's Catholic Primary School,ST TERESA OF CALCUTTA MULTI ACADEMY COMPANY,406811.0,288289.0,B19 3XD,84.8,,,st chad's catholic primary school,Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.48
141141,"St Wilfrid's Academy, Doncaster",DELTA ACADEMIES TRUST,461267.0,401364.0,DN4 6AH,84.6,,,"st wilfrid's academy, doncaster",Deprived Area,deprived,FSM >= 30.0% (high deprivation),,,8.459999999999999
